H + 0         1         1    109690.4769(1s)
    1 511                 (2)0( 0.5)         0.0000    {X}
    2 513                 (2)1( 0.5)     82303.9886    {X}
    3 512                 (2)0( 0.5)     82303.9887    {X}
    4 513                 (2)1( 1.5)     82304.3538    {X}
    5 514                 (2)0( 0.5)     97545.5755    {X}
    6 515                 (2)1( 0.5)     97545.5760    {X}
    7 516                 (2)2( 1.5)     97545.6835    {X}
    8 515                 (2)1( 1.5)     97545.6843    {X}
    9 516                 (2)2( 2.5)     97545.7196    {X}
   10 518                 (2)1( 0.5)    102880.1161    {X}
   11 517                 (2)0( 0.5)    102880.1161    {X}
   12 519                 (2)2( 1.5)    102880.1617    {X}
   13 518                 (2)1( 1.5)    102880.1617    {X}
   14 519                 (2)2( 2.5)    102880.1769    {X}
   15 51A                 (2)3( 2.5)    102880.1769    {X}
   16 51A                 (2)3( 3.5)    102880.1845    {X}
   17 51C                 (2)1( 0.5)    105349.2400    {X}
   18 51B                 (2)0( 0.5)    105349.2400    {X}
   19 51D                 (2)2( 1.5)    105349.2633    {X}
   20 51C                 (2)1( 1.5)    105349.2634    {X}
   21 51D                 (2)2( 2.5)    105349.2711    {X}
   22 51E                 (2)3( 2.5)    105349.2715    {X}
   23 51F                 (2)4( 3.5)    105349.2750    {X}
   24 51E                 (2)3( 3.5)    105349.2754    {X}
   25 51F                 (2)4( 4.5)    105349.2774    {X}
  12   2 1.72+07 4.34-07 1.17-03 1.38-01 6.98-01 1.67+00 3.30+00 4.73+00 6.04+00 7.72+00 9.57+00 1.20+01 1.62+01 1.98+01 2.35+01-5.20+00
  12   3 5.15+00 6.28-07 1.69-03 1.93-01 9.43-01 2.11+00 3.51+00 4.18+00 4.24+00 3.43+00 2.71+00 2.21+00 1.89+00 1.79+00 1.75+00 1.68+00
  12   4 3.44+06 8.51-07 2.29-03 2.66-01 1.33+00 3.10+00 5.73+00 7.60+00 8.39+00 7.20+00 5.79+00 4.85+00 4.57+00 4.86+00 5.37+00-1.04+00
  12   5 3.76+00 1.58-06 4.24-03 4.88-01 2.40+00 5.45+00 9.50+00 1.25+01 1.59+01 2.20+01 2.66+01 2.92+01 3.00+01 3.07+01 3.21+01 3.74+01
  12   6 5.87+06 2.78-06 7.51-03 8.79-01 4.44+00 1.06+01 2.07+01 3.15+01 5.06+01 9.85+01 1.48+02 2.06+02 2.96+02 3.68+02 4.41+02-1.02+02
  12   7 8.33-01 1.90-06 5.17-03 6.14-01 3.17+00 7.82+00 1.65+01 2.54+01 3.55+01 4.88+01 5.80+01 6.56+01 7.29+01 7.64+01 7.87+01 8.16+01
  12   8 1.17+06 2.49-06 6.68-03 7.62-01 3.70+00 8.18+00 1.33+01 1.62+01 2.00+01 2.93+01 3.86+01 4.92+01 6.55+01 7.90+01 9.28+01-2.03+01
  12   9 3.57-01 1.47-06 3.99-03 4.67-01 2.37+00 5.66+00 1.11+01 1.53+01 1.70+01 1.41+01 1.08+01 8.30+00 6.23+00 5.47+00 5.16+00 5.20+00
  12  10 2.77-08 1.81-03 4.86+00 5.57+02 2.72+03 6.08+03 1.02+04 1.26+04 1.45+04 1.65+04 1.77+04 1.86+04 1.97+04 2.05+04 2.11+04-7.68+02
  12  11 1.27-24 1.06-05 2.87-02 3.31+00 1.64+01 3.76+01 6.73+01 8.97+01 1.11+02 1.34+02 1.39+02 1.31+02 1.16+02 1.16+02 1.25+02 1.67+02
  13   1 6.82+07 7.33-08 1.97-04 2.24-02 1.09-01 2.40-01 3.86-01 4.45-01 4.48-01 3.80-01 3.20-01 2.92-01 3.18-01 3.73-01 4.45-01-1.65-01
  13   2 5.15+00 8.50-08 2.39-04 3.10-02 1.80-01 5.29-01 1.46+00 2.54+00 3.34+00 3.10+00 2.31+00 1.57+00 9.51-01 7.11-01 5.81-01 4.32-01
  13   3 9.67+06 2.33-07 6.31-04 7.40-02 3.75-01 8.98-01 1.77+00 2.55+00 3.20+00 3.71+00 4.20+00 5.02+00 6.79+00 8.53+00 1.04+01-2.92+00
  13   4 5.15+00 2.00-07 5.57-04 7.08-02 4.02-01 1.14+00 3.03+00 5.18+00 6.88+00 6.95+00 6.03+00 5.16+00 4.51+00 4.29+00 4.19+00 4.13+00
  13   5 3.07+06 1.65-06 4.44-03 5.12-01 2.53+00 5.79+00 1.04+01 1.44+01 2.20+01 4.30+01 6.58+01 9.45+01 1.41+02 1.80+02 2.18+02-5.32+01
  13   6 1.28+00 1.58-06 4.23-03 4.78-01 2.28+00 4.87+00 7.13+00 7.39+00 7.21+00 7.50+00 7.92+00 7.90+00 7.44+00 7.48+00 7.90+00 9.88+00
  13   7 3.48+04 1.32-06 3.54-03 4.02-01 1.93+00 4.19+00 6.39+00 6.96+00 6.76+00 5.70+00 4.79+00 4.17+00 3.89+00 3.99+00 4.24+00-6.03-01
  13   8 1.28+00 3.15-06 8.48-03 9.83-01 4.90+00 1.14+01 2.09+01 2.92+01 3.95+01 5.59+01 6.81+01 7.83+01 8.84+01 9.32+01 9.60+01 9.84+01
  13   9 3.13+05 2.04-06 5.48-03 6.25-01 3.03+00 6.67+00 1.07+01 1.26+01 1.37+01 1.46+01 1.55+01 1.74+01 2.15+01 2.53+01 2.92+01-5.43+00
  13  10 8.56-16 1.18-05 3.18-02 3.68+00 1.83+01 4.23+01 7.75+01 1.06+02 1.34+02 1.63+02 1.71+02 1.63+02 1.45+02 1.46+02 1.57+02 2.10+02
  13  11 3.46-08 2.24-03 6.02+00 6.90+02 3.37+03 7.53+03 1.26+04 1.56+04 1.81+04 2.05+04 2.20+04 2.32+04 2.46+04 2.55+04 2.64+04-9.60+02
  14   1 3.27+02 2.57-08 6.89-05 7.85-03 3.80-02 8.34-02 1.32-01 1.49-01 1.45-01 1.12-01 8.23-02 5.90-02 4.25-02 3.77-02 3.64-02 3.85-02
