 H+ 0         1         1       109679.(1S)
    1 1S1               (2)0( 0.5)             0.0   {1}1.000
    2 2S1               (2)0( 0.5)         82258.9   {1}1.000
    3 2P1               (2)1( 2.5)         82259.0   {1}1.000
    4 3S1               (2)0( 0.5)         97492.2   {1}1.000
    5 3P1               (2)1( 2.5)         97492.2   {1}1.000
    6 3D1               (2)2( 4.5)         97492.3   {1}1.000
    7 4S1               (2)0( 0.5)        102823.9   {1}1.000
    8 4P1               (2)1( 2.5)        102823.9   {1}1.000
    9 4D1               (2)2( 4.5)        102823.9   {1}1.000
   10 4F1               (2)3( 6.5)        102823.9   {1}1.000
   11 5S1               (2)0( 0.5)        105291.6   {1}1.000
   12 5P1               (2)1( 2.5)        105291.6   {1}1.000
   13 5D1               (2)2( 4.5)        105291.6   {1}1.000
   14 5F1               (2)3( 6.5)        105291.6   {1}1.000
   15 5G1               (2)4( 8.5)        105291.6   {1}1.000
   -1
  11   5 9.05+05 2.25+00 2.25+00 2.25+00 2.58+00 3.01+00 3.24+00 3.77+00 4.22+00 4.62+00 4.96+00 5.58+00 6.02+00 6.33+00
  12   5 1.00-30 7.47+00 7.47+00 7.47+00 9.77+00 1.40+01 1.59+01 1.88+01 2.06+01 2.18+01 2.27+01 2.43+01 2.55+01 2.63+01
  13   5 3.39+06 1.02+01 1.09+01 1.15+01 1.53+01 2.67+01 3.56+01 5.21+01 6.41+01 7.36+01 8.13+01 1.02+02 1.30+02 1.78+02
  14   5 1.00-30 1.04+01 1.04+01 1.04+01 1.25+01 1.65+01 1.83+01 2.04+01 2.14+01 2.20+01 2.24+01 2.31+01 2.36+01 2.40+01
  15   5 1.00-30 1.47+01 1.47+01 1.47+01 1.86+01 2.47+01 2.86+01 3.36+01 3.57+01 3.67+01 3.72+01 3.80+01 3.86+01 3.90+01
   7   6 1.00-30 4.21+00 4.21+00 4.21+00 4.27+00 4.35+00 4.56+00 4.93+00 5.12+00 5.23+00 5.29+00 5.39+00 5.46+00 5.51+00
   8   6 3.48+05 1.16+01 1.27+01 1.37+01 1.55+01 1.97+01 2.19+01 2.52+01 2.74+01 2.91+01 3.05+01 3.43+01 3.96+01 4.88+01
   9   6 1.00-30 3.44+01 3.44+01 3.44+01 4.61+01 8.30+01 1.07+02 1.41+02 1.58+02 1.69+02 1.76+02 1.88+02 1.97+02 2.02+02
  10   6 1.38+07 5.54+01 6.06+01 6.54+01 1.12+02 3.27+02 5.18+02 8.71+02 1.12+03 1.31+03 1.46+03 1.85+03 2.37+03 3.24+03
  11   6 1.00-30 2.78+00 2.78+00 2.78+00 2.92+00 2.53+00 2.27+00 1.95+00 1.81+00 1.73+00 1.68+00 1.59+00 1.53+00 1.49+00
  12   6 1.50+05 8.21+00 8.21+00 8.21+00 8.88+00 8.76+00 8.51+00 8.32+00 8.34+00 8.42+00 8.51+00 8.68+00 8.80+00 8.88+00
  13   6 1.00-30 1.69+01 1.69+01 1.69+01 2.10+01 2.73+01 2.94+01 3.20+01 3.33+01 3.42+01 3.48+01 3.59+01 3.66+01 3.71+01
  14   6 4.54+06 2.52+01 2.69+01 2.85+01 4.01+01 7.81+01 1.06+02 1.50+02 1.79+02 2.00+02 2.17+02 2.60+02 3.18+02 4.12+02
  15   6 1.00-30 2.98+01 2.98+01 2.98+01 3.87+01 5.32+01 6.18+01 7.43+01 8.06+01 8.42+01 8.66+01 9.08+01 9.39+01 9.60+01
  11   7 1.00-30 6.73+00 6.73+00 6.73+00 1.58+01 4.34+01 5.76+01 7.51+01 8.43+01 9.04+01 9.48+01 1.02+02 1.08+02 1.11+02
  12   7 7.38+05 7.43+00 8.72+00 9.81+00 1.73+01 4.25+01 6.30+01 1.06+02 1.42+02 1.73+02 2.01+02 2.78+02 3.87+02 5.75+02
  13   7 1.00-30 1.43+01 1.43+01 1.43+01 2.54+01 6.16+01 8.43+01 1.15+02 1.32+02 1.42+02 1.50+02 1.64+02 1.74+02 1.81+02
  14   7 1.00-30 2.22+01 2.22+01 2.22+01 3.48+01 6.30+01 7.63+01 9.08+01 9.69+01 1.00+02 1.02+02 1.05+02 1.08+02 1.09+02
  15   7 1.00-30 2.03+01 2.03+01 2.03+01 2.76+01 4.12+01 4.74+01 5.40+01 5.65+01 5.77+01 5.83+01 5.93+01 6.00+01 6.04+01
  11   8 6.45+05 8.33+00 9.78+00 1.10+01 1.81+01 2.95+01 3.45+01 4.46+01 5.37+01 6.19+01 6.93+01 9.02+01 1.21+02 1.74+02
  12   8 1.00-30 3.92+01 3.92+01 3.92+01 7.54+01 1.75+02 2.27+02 2.89+02 3.21+02 3.42+02 3.57+02 3.83+02 4.01+02 4.14+02
  13   8 1.49+06 3.12+01 3.66+01 4.12+01 7.05+01 1.86+02 2.79+02 4.55+02 5.92+02 7.05+02 8.01+02 1.06+03 1.43+03 2.06+03
