H + 0         1         1   109679.0
    1 1S                (2)0( 0.5)        0.0
    2 2S                (2)0( 0.5)    82259.0
    3 2P                (2)1( 2.5)    82259.0
    4 3S                (2)0( 0.5)    97492.0
    5 3P                (2)1( 2.5)    97492.0
    6 3D                (2)2( 4.5)    97492.0
    7 4S                (2)0( 0.5)   102824.0
    8 4P                (2)1( 2.5)   102824.0
    9 4D                (2)2( 4.5)   102824.0
   10 4F                (2)3( 6.5)   102824.0
   11 5S                (2)0( 0.5)   105292.0
   12 5P                (2)1( 2.5)   105292.0
   13 5D                (2)2( 4.5)   105292.0
   14 5F                (2)3( 6.5)   105292.0
   15 5G                (2)4( 8.5)   105292.0
   -1
R 14  +1         1.80-14 1.31-14 8.34-15 6.02-15 4.16-15 2.65-15 1.89-15 1.14-15 5.86-16 3.71-16 2.26-16 8.41-17 2.20-17 7.87-18
R 15  +1         8.07-15 5.55-15 3.29-15 2.27-15 1.49-15 9.01-16 6.20-16 3.60-16 1.77-16 1.10-16 6.56-17 2.38-17 6.11-18 2.17-18
  -1
  -1  -1
C-------------------------------------------------------------------------------
C
C
C  BACKGROUND  : THE DATA WAS OBTAINED BY FIRST SUBJECTING
C                THE THE ADF04 FILE 'HPSL91H' TO ADAS211.
C                ADAS211 ESSENTIALLY IMPLEMENTS THE BURGESS
C                AND TULLY TRANSFORMATION ON THE EFFECTIVE COLLISION
C                STRENGTH ( SEE REFERENCE (1)). THE X AND Y
C                ARRAYS DESCRIBED IN (1) ARE THEN PASSED TO A
C                SUBROUTINE WHICH PRODUCES A SPLINE THROUGH THE
C                THE DATA.TO OBTAIN THE EFFECTIVE COLLISION STRENGTH
C                FOR A GIVEN TEMPERATURE RANGE, ADAS211 READS THE
C                REQUIRED TEMPERATURE RANGE AND THE CORRESPONDING
C                Y VALUES ARE EVALUATED FROM THE SPLINE. THE NEW
C                EFFECTIVE COLISION STRENGTH IS OBTAINED BY
C                REVERSING THE TRANSFORMATION.
C
C  REFERENCE :
C            (1) A.BURGESS AND J.A.TULLY
C                ON THE ANALYSIS OF COLLISION STRENGTHS
C                AND RATE COEFFICIENTS.
C                ASTRON.ASRTOPHYS.254,436-453 ( 1992 )
C
C  Program: ADAS211
C
C  Source file: /JETABU.HLIKE.DATA(HAL96H)
C
C
C  Producer: H. Anderson (JETABU)
C  Date:     15/02/96
C-------------------------------------------------------------------------------
C
C  Modified data for 1s-2s,2p,3s,3p,3d; 2s-3s,3p,3d; 2p-3s,3p,3d substituted
C  based on analyis of Calloway recommendations (1994)ADNDT
C  in combination with Sampson data.  Preferred curves were established using
C  Burgess C-plots on EXCEL spreadsheets.
C
C  Producer:         H. Anderson
C  Date:             15/02/96
C
C  Update:  28/08/97  HP Summers - checked energy levels - OK.
C-------------------------------------------------------------------------------
C
C  File generated by manual merging of COPHA#H_HAH96H.DAT
C                                  and COPHA#H_HAL96H.DAT
C
C  Producer: cfm
C  Date: 29/09/97
C-------------------------------------------------------------------------------
